Year,Spending
2001,367.9
2002,381.4
2003,406.4
2004,441.2
2005,437.1
2006,457.7
2007,486.4
2008,516.3
2009,531
2010,561.7
2011,583.2
2012,590
2013,586.4
2014,569.5
2015,594.2
2016,650.5
2017,622.9
2018,619.3
2019,617.7
2020,680.9
