Year,Spending
2006,232.6
2007,252.1
2008,247.1
2009,267.5
2010,268.5
2011,279.7
2012,294.6
2013,290
2014,287.7
2015,309.6
2016,329.7
2017,333.7
2018,364.1
2019,360.9
2020,451.6
