Year,Spending
2001,584.8
2002,652.6
2003,723.8
2004,779.9
2005,826
2006,894
2007,933.1
2008,952.4
2009,984.1
2010,986.6
2011,1004.2
2012,1013.8
2013,1020.5
2014,1118.6
2015,1189.4
2016,1192.3
2017,1200.8
2018,1229.3
2019,1277
2020,1315.2
2021,1432.3
